Department,PrjInvId,Project Id,Person,NetId,Role,Start,End,Cost,Type,Title
,66861-18968,66861,"MARTIN FLORES, MANUEL",MM459,KP,2012,2015,7500,GRANT,COMPARISON OF ELECTRORETINOGRAPHY & BRAINSTEM AUDITORY RESPONSE TO 3-DIMENSIONAL TIME-OF-FLIGHT MAGNETIC RESONANCE ANGIOGRAPHY FOR DETECTING REDUCED BLOOD FLOW IN THE MAXILLARY ARTERIES OF CATS
,66861-3971,66861,"LOEW, ELLIS R",ERL1,KP,2012,2015,7500,GRANT,COMPARISON OF ELECTRORETINOGRAPHY & BRAINSTEM AUDITORY RESPONSE TO 3-DIMENSIONAL TIME-OF-FLIGHT MAGNETIC RESONANCE ANGIOGRAPHY FOR DETECTING REDUCED BLOOD FLOW IN THE MAXILLARY ARTERIES OF CATS
,66893-2189,66893,"BILLERA, LOUIS J",LJB4,PI,2012,2017,35000,GRANT,"ENUMERATIVE COMBINATORICS OF POLYTOPES, POSETS AND COXETER GROUPS"
,66907-8004,66907,"AGRAWAL, ANURAG",AA337,PI,2012,2014,130000,GRANT,BELOWGROUND CHEMICAL ECOLOGY AND INTERACTIONS OF STRAWBERRY ROOT PESTS AND BIOLOGICAL CONTROL
,66907-32558,66907,"ALI, JARED G",JGA54,FE,2012,2014,130000,GRANT,BELOWGROUND CHEMICAL ECOLOGY AND INTERACTIONS OF STRAWBERRY ROOT PESTS AND BIOLOGICAL CONTROL
,66910-2673,66910,"NAULT, BRIAN A",BAN6,PI,2012,2016,429435,GRANT,BUILDING MARKET FOUNDATIONS FOR SUSTAINABLE VEGETABLE PRODUCTION AND PROCESSING
,66910-41969,66910,"PETHYBRIDGE, SARAH J",SJP277,CO,2012,2016,429435,GRANT,BUILDING MARKET FOUNDATIONS FOR SUSTAINABLE VEGETABLE PRODUCTION AND PROCESSING
,66910-2452,66910,"KIKKERT, JULIE R",JRK2,CO,2012,2016,429435,GRANT,BUILDING MARKET FOUNDATIONS FOR SUSTAINABLE VEGETABLE PRODUCTION AND PROCESSING
,66913-3065,66913,"ZITTER, THOMAS A",TAZ1,PI,2012,2016,44270,COOP,UNDERSTANDING THE GLOBAL VIRUS DISTRIBUTION IN TOMATO AND DEVELOPMENT OF TRANSLATIONAL GENOMIC TOOLS TO ACCELERATE BREEDING FOR RESISTANCE: ATCA
,66913-28549,66913,"DAILEY O`BRIEN, DAWN DAILEY",DDO1,KP,2012,2016,44270,COOP,UNDERSTANDING THE GLOBAL VIRUS DISTRIBUTION IN TOMATO AND DEVELOPMENT OF TRANSLATIONAL GENOMIC TOOLS TO ACCELERATE BREEDING FOR RESISTANCE: ATCA
,66913-32562,66913,"JENSEN, SANDRA L",SLJ2,KP,2012,2016,44270,COOP,UNDERSTANDING THE GLOBAL VIRUS DISTRIBUTION IN TOMATO AND DEVELOPMENT OF TRANSLATIONAL GENOMIC TOOLS TO ACCELERATE BREEDING FOR RESISTANCE: ATCA
,66916-8645,66916,"LEWIS, ADRIAN S.",ASL55,PI,2012,2016,0,COOP,STRUCTURED BARRIER AND PENALTY FUNCTIONS IN INFINITE DIMENSIONAL OPTIMIZATION AND ANALYSIS
,66923-11385,66923,"MARCH, JOHN",JCM224,CO,2012,2015,2880095,COOP,MICROPHYSIOLOGICAL SYSTEMS AND LOW COST MICROFLUIDIC PLATFORM WITH ANALYTICS
,66923-22587,66923,"SHEN, XILING",XS66,CO,2012,2015,2880095,COOP,MICROPHYSIOLOGICAL SYSTEMS AND LOW COST MICROFLUIDIC PLATFORM WITH ANALYTICS
,66955-9025,66955,"KIRBY, BRIAN",BK88,PI,2012,2015,240000,GRANT,NOVEL MESOSCALE ZONAL HYDRAULIC ACTUATION FOR WALL CLIMBING LEGGED ROBOTS
,66958-1412,66958,"MUTSCHLER, MARTHA A",MAM13,PI,2012,2017,273993,GRANT,ADVANCING INNOVATIVE TECHNOLOGIES AND INTEGRATED STRATEGIES FOR SUSTAINABLE MANAGEMENT OF THRIPS-TRANSMITTED TOSPOVIRUSES
,66965-34628,66965,"SEGUIN, REBECCA",RS946,PI,2012,2016,499987,CONTRACT,ENHANCING FOOD SECURITY IN NEW YORK THROUGH WIC AND SENIOR FARMERS‰Ûª MARKET NUTRITION PROGRAM OUTREACH
,66998-11384,66998,"ESTROFF, LARA A",LAE37,CO,2012,2017,1655780,GRANT,BREAST MICROCALCIFICATIONS AND THEIR ROLE IN BREAST CANCER BONE METASTASIS
,66998-16967,66998,"FISCHBACH, CLAUDIA",CF99,PI,2012,2017,1655780,GRANT,BREAST MICROCALCIFICATIONS AND THEIR ROLE IN BREAST CANCER BONE METASTASIS
,67006-2052,67006,"VARGAS-MENDEZ, LEONARDO",LJV1,PI,2012,2017,1311785,GRANT,CORNELL UPWARD BOUND
,67006-26467,67006,"RUDOLPH, JEN",JLR343,CO,2012,2017,1311785,GRANT,CORNELL UPWARD BOUND
,67010-1307,67010,"WANG, PING",PW15,PI,2012,2016,499997,GRANT,MOLECULAR GENETIC BASIS OF INSECT RESISTANCE TO BT-CROPS
,67010-3241,67010,"BLISSARD, GARY",GWB1,KP,2012,2016,499997,GRANT,MOLECULAR GENETIC BASIS OF INSECT RESISTANCE TO BT-CROPS
,67010-32669,67010,"FEI, ZHANGJUN",ZF25,KP,2012,2016,499997,GRANT,MOLECULAR GENETIC BASIS OF INSECT RESISTANCE TO BT-CROPS
