,"74016-3784","74016","SULLIVAN, PATRICK J","PATRICK","J","SULLIVAN","PJS31","PI","CALS NR Uncategorized","01F5","3784","74016","A001","SEX SPECIFIC POPULATION ASSESSMENT MODELING OF SUMMER FLOUNDER (PARALICHTHYS DENTATUS) IN THE MID-ATLANTIC","01F5","CALS NR Uncategorized","UNIVERSITY OF SOUTHERN MISSISSIPPI","3543","2014","2015","26466","CONTRACT","","","U OF S MISS","","","CALS Natural Resources","ASAP"
,"76351-3480","76351","HEALEY, TIMOTHY J","TIMOTHY","J","HEALEY","TJH10","PI","Mechanical & Aerospace Engineering","2355","3480","76351","A001","NONLINEAB PROBLEMS FOR THIN ELASTIC STRUCTURES","2178","Mathematics","NATL SCIENCE FOUNDATION","2244","2014","2015","0","GRANT","","","NSF","","","Mathematics","ASAP"
,"74107-20208","74107","LEY, RUTH E","RUTH","E","LEY","REL222","KP","CALS MB Uncategorized","01H1","20208","74107","A001","SEPARATING SYSTEMIC INFLAMMATION FROM OBESITY IN LOAD-INDUCED OSTEOARTHRITIS","2355","Mechanical & Aerospace Engineering","NATL INST OF ARTHRITIS MUSCULOSKELETAL SKIN, NIH","1207","2015","2016","370946","GRANT","","","DHHS","NIH","NIH NIAMS","Mechanical & Aerospace Engineering","ASAP"
,"75486-37529","75486","LIBERT, SERGIY","SERGIY","","LIBERT","SL2538","PI","Biomedical Sciences","0415","37529","75486","A001","GENETIC DETERMINATION OF THE RATE OF AGING AND SUSCEPTIBILITY TO DISEASES OF AGING IN DIFFERENT BREEDS OF DOGS","0420","Faculty Managed","AMERICAN FEDERATION FOR AGING RESEARCH","643","2015","2017","98500","CONTRACT","","","AFAR","","","Biomedical Sciences","ASAP"
,"68217-2051","68217","GOLDEN, THOMAS P","THOMAS","P","GOLDEN","TPG3","PI","0557 Other Funds","05AZ","2051","68217","A001","SUPPORTED EMPLOYMENT TRAINING INITIATIVE","05AZ","0557 Other Funds","NYS DEPT OF EDUCATION","2323","2013","2018","1766095","GRANT","1358","REHABILITATION SERVICES ADMIN, US D OF ED","NYS","NYSEDUC","","Employment & Disability Institute","ASAP"
,"71693-1244","71693","STOKOL, TRACY","TRACY","","STOKOL","TS23","PI","Population Medicine & Diagnostic Science","0447","1244","71693","A001","PLATELET INHIBITORS: POTENTIAL ANTITHROMBOTICS FOR EHV-1","0452","Faculty Managed","GRAYSON-JOCKEY CLUB RES FDN","1540","2014","2015","68368","GRANT","","","GRAYSON-JOCKEY","","","Population Medicine & Diagnostic Science","ASAP"
,"68945-12107","68945","SCHAFFER, CHRIS","CHRIS","","SCHAFFER","CS385","PI","Biomedical Engineering","2388","12107","68945","A001","REDUCING MORBIDITY IN SURGICAL RESECTIONS: THIRD-HARMONIC GENERATION MICROSCOPY AND ENDOSCOPY TO VISUALIZE NERVES IN THE SURGICAL FIELD","2388","Biomedical Engineering","NATL INST OF HEALTH DHHS","476","2013","2016","434463","GRANT","","","DHHS","NIH","","Biomedical Engineering","ASAP"
,"75254-1568","75254","HARRINGTON, LAURA C","LAURA","C","HARRINGTON","LCH27","PI","CALS Entomology","0138","1568","75254","A001","NOVEL ACOUSTIC SURVEILLANCE TECHNIQUES FOR MALE AND FEMALE MOSQUITOES","01E2","CALS ENT-IT Uncategorized","BILL & MELINDA GATES FOUNDATION","3663","2015","2016","100000","GRANT","","","GATES FDN","","","CALS Entomology","ASAP"
,"73181-20987","73181","KRESS GAZIT, HADAS","HADAS","","KRESS GAZIT","HK478","PI","Mechanical & Aerospace Engineering","2355","20987","73181","A001","STTR IP AGREEMENT","2355","Mechanical & Aerospace Engineering","R-DEX SYSTEMS","44041","2014","2017","0","CONTRACT","1241","AIR FORCE OFFICE OF SCIENTIFIC RESEARCH","R-DEX","","","Mechanical & Aerospace Engineering","ASAP"
,"74596-28549","74596","DAILEY O`BRIEN, DAWN DAILEY","DAWN","DAILEY ","DAILEY O`BRIEN","DDO1","KP","CALS PP-IT Uncategorized","01G2","28549","74596","A001","NPDN STAR-D DEVELOPMENT, PROGRAM EXPANSION, AND EXTERNAL AUDITS","01G2","CALS PP-IT Uncategorized","ANIMAL/PLANT HLTH INSPEC SERV USDA","2991","2014","2015","240000","COOP","","","USDA","USDA APHIS","","CALS Plant Pathology","ASAP"
,"69367-6464","69367","PERELSTEIN, MAXIM","MAXIM","","PERELSTEIN","MP325","CO","Laboratory Elementary-Particle Physics","3482","6464","69367","A001","ELEMENTARY PARTICLE THEORY","3455","Cornell Lab Accelerator Sciences & Ed","DIRECTORATE FOR MATHEMATICAL & PHYSICAL SCIENCES NSF","5171","2014","2017","1940000","GRANT","","","NSF","NSF MPS","","Cornell Lab Accelerator Sciences & Ed","ASAP"
,"68427-5544","68427","MELKONIAN, JEFFREY","JEFFREY","","MELKONIAN","JJM11","KP","CALS CSS Uncategorized","01B6","5544","68427","A001","NEW TECHNOLOGIES FOR IMPROVING SUSTAINABILITY OF CORN N MANAGEMENT","01B6","CALS CSS Uncategorized","UNIVERSITY OF VERMONT","2933","2013","2016","208866","GRANT","19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","U OF VERMONT","","","CALS Soil and Crop Sciences","ASAP"
,"74857-1358","74857","WIEDMANN, MARTIN","MARTIN","","WIEDMANN","MW16","PI","CALS FS-IT Department Operations","01E3","1358","74857","A001","FIELD TRIAL OF E. COLI O157:H7 CONTAMINATION OF PRE-HARVEST LETTUCE BY THE FECAL CONTAMINATION PATHWAY (FOR QPRAM)","01E3","CALS FS-IT Department Operations","RESEARCH TRIANGLE INSTITUTE INTERNATIONAL","252","2014","2015","102920","CONTRACT","1188","FOOD & DRUG ADMINISTRATION, DHHS","RTI INTERNATIONAL","","","CALS Food Science","ASAP"
