http://scholars.cornell.edu/individual/mw24,Civil and Environmental Engineering,http://scholars.cornell.edu/individual/org15006,"70488-2384","70488","WEBER-SHIRK, MONROE","MONROE","","WEBER-SHIRK","MW24","PI","Civil & Environmental Engineering","2365","2384","70488","A001","COLLABORATION AGREEMENT","2365","Civil & Environmental Engineering","AGUACLARA LLC","40243","2013","2018","0","COOP","","","AGUACLARA","","","Civil & Environmental Engineering","ASAP"
null,"73056-36749","73056","OPHIR, ALEXANDER","ALEXANDER","","OPHIR","AGO25","PI","Psychology","2188","36749","73056","A001","INFLUENCES OF PATERNAL AND MATERNAL CARE ON OFFSPRING SOCIAL COGNITION","2188","Psychology","NATL INST OF CHILD HEALTH & HUMAN DEVELOPMENT, NIH","1208","2015","2019","1295218","GRANT","","","DHHS","NIH","NIH NICHD","Psychology","ASAP"
http://scholars.cornell.edu/individual/rm92,Electrical and Computer Engineering,http://scholars.cornell.edu/individual/org49841,"66553-4055","66553","MANOHAR, RAJIT","RAJIT","","MANOHAR","RM92","CO","Electrical & Computer Engineering","2370","4055","66553","A001","MULTI-FOUNDRY CMOS INTEGRATED ULTRASONIC COMMUNICATION LINKS FOR TRUSTED INTEGRATED CIRCUITS","2370","Electrical & Computer Engineering","SPACE AND NAVAL WARFARE SYSTEMS CENTER SAN DIEGO","10130","2012","2016","3161359","CONTRACT","25415","INTELLIGENCE ADVANCED RESEARCH PROJECTS ACTIVITY","DOD","NAVY","SSCSD","Electrical & Computer Engineering","ASAP"
null,"74016-3784","74016","SULLIVAN, PATRICK J","PATRICK","J","SULLIVAN","PJS31","PI","CALS NR Uncategorized","01F5","3784","74016","A001","SEX SPECIFIC POPULATION ASSESSMENT MODELING OF SUMMER FLOUNDER (PARALICHTHYS DENTATUS) IN THE MID-ATLANTIC: APPLIED SPONSORED RESEARCH AGREEMENT TEMPLATE","01F5","CALS NR Uncategorized","UNIVERSITY OF SOUTHERN MISSISSIPPI","3543","2014","2016","52961","CONTRACT","","","U OF S MISS","","","CALS Natural Resources","ASAP"
null,"77715-2555","77715","DAUGHTREY, MARGERY L","MARGERY","L","DAUGHTREY","MLD9","PI","CALS PP-IT Uncategorized","01G2","2555","77715","A001","BOXWOOD BLIGHT MITIGATION STRATEGIES","0153","CALS Plant Pathology - Ithaca","RUTGERS STATE UNIV OF NJ","2627","2015","2016","3749","COOP","2991","ANIMAL/PLANT HLTH INSPEC SERV USDA","RUTGERS","","","CALS School of Integrative Plant Science","ASAP"
null,"74107-20208","74107","LEY, RUTH E","RUTH","E","LEY","REL222","KP","CALS MB Uncategorized","01H1","20208","74107","A001","SEPARATING SYSTEMIC INFLAMMATION FROM OBESITY IN LOAD-INDUCED OSTEOARTHRITIS","2355","Mechanical & Aerospace Engineering","NATL INST OF ARTHRITIS MUSCULOSKELETAL SKIN, NIH","1207","2015","2016","370946","GRANT","","","DHHS","NIH","NIH NIAMS","Mechanical & Aerospace Engineering","ASAP"
null,"75486-37529","75486","LIBERT, SERGIY","SERGIY","","LIBERT","SL2538","PI","Biomedical Sciences","0415","37529","75486","A001","GENETIC DETERMINATION OF THE RATE OF AGING AND SUSCEPTIBILITY TO DISEASES OF AGING IN DIFFERENT BREEDS OF DOGS","0420","Faculty Managed","AMERICAN FEDERATION FOR AGING RESEARCH","643","2015","2017","98500","CONTRACT","","","AFAR","","","Biomedical Sciences","ASAP"
null,"78067-34252","78067","BANEUX, PHILIPPE","PHILIPPE","","BANEUX","PB462","PI","Center Animal Resources & Education","3458","34252","78067","A001","CORNELL CENTER FOR ANIMAL RESOURCES (CARE) ASLAP FOUNDATION SUMMER FELLOWSHIP","0420","Faculty Managed","THE AMERICAN SOCIETY OF LABORATORY ANIMAL PRACTITIONERS","41921","2015","2016","5000","GRANT","","","ASLAP","","","Biomedical Sciences","ASAP"
null,"68217-2051","68217","GOLDEN, THOMAS P","THOMAS","P","GOLDEN","TPG3","PI","0557 Other Funds","05AZ","2051","68217","A001","SUPPORTED EMPLOYMENT TRAINING INITIATIVE","05AZ","0557 Other Funds","NYS DEPT OF EDUCATION","2323","2013","2018","1766095","GRANT","1358","REHABILITATION SERVICES ADMIN, US D OF ED","NYS","NYSEDUC","","Industrial & Labor Relations Ext Orgs","APA"
http://scholars.cornell.edu/individual/cs385,Biomedical Engineering,http://scholars.cornell.edu/individual/org68763,"68945-12107","68945","SCHAFFER, CHRIS","CHRIS","","SCHAFFER","CS385","PI","Biomedical Engineering","2388","12107","68945","A001","REDUCING MORBIDITY IN SURGICAL RESECTIONS: THIRD-HARMONIC GENERATION MICROSCOPY AND ENDOSCOPY TO VISUALIZE NERVES IN THE SURGICAL FIELD","2388","Biomedical Engineering","NATL INST OF HEALTH DHHS","476","2013","2016","434463","GRANT","","","DHHS","NIH","","Biomedical Engineering","ASAP"
null,"76895-17787","76895","ORR, DAVID P","DAVID","P","ORR","DPO3","PI","CALS Biological & Environmental Engr","0123","17787","76895","A001","NEW YORK STATE LOCAL TECHNICAL ASSISTANCE PROGRAM (LTAP): A TECHNOLOGY TRANSFER PROGRAM FOR LOCAL HIGHWAY AGENCIES","01A8","CALS BEE Local Roads Program","NYS DEPT OF TRANSPORTATION","2321","2015","2018","1958631.9","CONTRACT","","","NYS","NYS DOT","","CALS Biological & Environmental Engr","ASAP"
null,"75254-1568","75254","HARRINGTON, LAURA C","LAURA","C","HARRINGTON","LCH27","PI","CALS Entomology","0138","1568","75254","A001","NOVEL ACOUSTIC SURVEILLANCE TECHNIQUES FOR MALE AND FEMALE MOSQUITOES","01E2","CALS ENT-IT Uncategorized","BILL & MELINDA GATES FOUNDATION","3663","2015","2016","100000","GRANT","","","GATES FDN","","","CALS Entomology","ASAP"
http://scholars.cornell.edu/individual/hk478,Mechanical and Aerospace Engineering,http://scholars.cornell.edu/individual/org66771,"73181-20987","73181","KRESS GAZIT, HADAS","HADAS","","KRESS GAZIT","HK478","PI","Mechanical & Aerospace Engineering","2355","20987","73181","A001","STTR IP AGREEMENT","2355","Mechanical & Aerospace Engineering","R-DEX SYSTEMS","44041","2014","2017","0","CONTRACT","1241","AIR FORCE OFFICE OF SCIENTIFIC RESEARCH","R-DEX","","","Mechanical & Aerospace Engineering","ASAP"
null,"76224-1358","76224","WIEDMANN, MARTIN","MARTIN","","WIEDMANN","MW16","PI","CALS FS-IT Department Operations","01E3","1358","76224","A002","PATHOGEN PHYSIOLOGICAL STATE HAS A GREATER EFFECT ON OUTCOMES OF CHALLENGE AND VALIDATION STUDIES THAN STRAIN DIVERSITY","01E3","CALS FS-IT Department Operations","CENTER FOR PRODUCE SAFETY","43922","2016","2018","274811","GRANT","960","CALIFORNIA DEPT OF FOOD AND AGRICULTURE","CPS","","","CALS Food Science","ASAP"
http://scholars.cornell.edu/individual/rb737,Mechanical and Aerospace Engineering,http://scholars.cornell.edu/individual/org66771,"74422-40813","74422","BARTHELMIE, REBECCA J","REBECCA","J","BARTHELMIE","RB737","PI","Mechanical & Aerospace Engineering","2355","40813","74422","A001","AN INTEGRATED APPROACH TO OFFSHORE WIND ENERGY ASSESSMENT: GREAT LAKES 3D WIND EXPERIMENT","2355","Mechanical & Aerospace Engineering","DEPARTMENT OF ENERGY","483","2013","2016","217454","GRANT","","","DOE","","","Mechanical & Aerospace Engineering","ASAP"
null,"74596-28549","74596","DAILEY O`BRIEN, DAWN DAILEY","DAWN","DAILEY ","DAILEY O`BRIEN","DDO1","KP","CALS PP-IT Uncategorized","01G2","28549","74596","A001","NPDN STAR-D DEVELOPMENT, PROGRAM EXPANSION, AND EXTERNAL AUDITS","0153","CALS Plant Pathology - Ithaca","ANIMAL/PLANT HLTH INSPEC SERV USDA","2991","2014","2016","240000","COOP","","","USDA","USDA APHIS","","CALS School of Integrative Plant Science","ASAP"
null,"69367-6464","69367","PERELSTEIN, MAXIM","MAXIM","","PERELSTEIN","MP325","CO","Laboratory Elementary-Particle Physics","3482","6464","69367","A001","ELEMENTARY PARTICLE THEORY","3455","Cornell Lab Accelerator Sciences & Ed","DIRECTORATE FOR MATHEMATICAL & PHYSICAL SCIENCES NSF","5171","2014","2017","1940000","GRANT","","","NSF","NSF MPS","","Cornell Lab Accelerator Sciences & Ed","ASAP"
null,"68427-5544","68427","MELKONIAN, JEFFREY","JEFFREY","","MELKONIAN","JJM11","KP","CALS CSS Uncategorized","01B6","5544","68427","A001","NEW TECHNOLOGIES FOR IMPROVING SUSTAINABILITY OF CORN N MANAGEMENT","0125","CALS Soil and Crop Sciences","UNIVERSITY OF VERMONT","2933","2013","2017","208866","GRANT","19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","U OF VERMONT","","","CALS School of Integrative Plant Science","ASAP"
http://scholars.cornell.edu/individual/mp336,Mechanical and Aerospace Engineering,http://scholars.cornell.edu/individual/org66771,"78577-9024","78577","PECK, MASON","MASON","","PECK","MP336","PI","Mechanical & Aerospace Engineering","2355","9024","78577","A001","ATTITUDE DYNAMICS AND CONTROL FOR ELECTROLYSIS PROPULSION FOR INTERPLANETARY SMALLSATS","2355","Mechanical & Aerospace Engineering","JET PROPULSION LABORATORY","1803","2015","2016","20000","CONTRACT","535","NATL AERONAUTICS & SPACE ADM","JPL","","","Mechanical & Aerospace Engineering","ASAP"
null,"76771-844","76771","GAY, GERALDINE K","GERALDINE","K","GAY","GKG1","PI","CALS COM Uncategorized","01D6","844","76771","A001","IMPROVING THE SELF-MANAGEMENT OF CHRONIC PAIN THROUGH MOMENTARY ASSESSMENT","362S","IS Sponsor","CORNELL JOAN AND SANFORD I. WEILL MEDICAL COLLEGE","11334","2015","2016","15000","GRANT","476","NATL INST OF HEALTH DHHS","WCM","","","Information Science","ASAP"
null,"78709-4724","78709","BUCKLER, EDWARD S","EDWARD","S","BUCKLER","ESB33","PI","CALS PBG Uncategorized","01F8","4724","78709","A001","LINKAGE MAPPING FOR STRIGA RESISTANCE GENES IN EARLY MATURING TROPICAL MAIZE LINES","3435","Institute Biotechnology & Life Science","UNIVERSITY OF CALIFORNIA DAVIS","2879","2016","2017","19993","GRANT","660","AGENCY FOR INTERNATIONAL DEVELOPMENT","U OF CAL","UC DAVIS","","Institute Biotechnology & Life Science","ASAP"
http://scholars.cornell.edu/individual/cko3,Materials Science and Engineering,http://scholars.cornell.edu/individual/org42189,"77614-977","77614","OBER, CHRISTOPHER K","CHRISTOPHER","K","OBER","CKO3","PI","Materials Science Engineering","2374","977","77614","A001","HAIRY BRUSH NANOPARTICLES: SYNTHESIS AND CHARACTERIZATION","2374","Materials Science Engineering","UES INC.","11592","2015","2016","100000","CONTRACT","480","AIR FORCE, DOD","UES","","","Materials Science Engineering","ASAP"
null,"77286-9725","77286","WOODBURY, PETER B","PETER","B","WOODBURY","PBW1","CO","CALS School of Integrative Plant Science","0122","9725","77286","A001","IMPROVING THE SCIENTIFIC FOUNDATION FOR GREENING THE FOOD SUPPLY CHAIN","01L6","CALS IP Uncategorized","ENVIRONMENTAL DEFENSE FUND","40782","2015","2016","112914","CONTRACT","","","ENVDFUND","","","CALS International Programs","ASAP"
null,"62029-3956","62029","NICHOLSON, PHILIP D","PHILIP","D","NICHOLSON","PDN2","PI","Center Astrophysics-Planetary Science","3425","3956","62029","A001","FOR THE PARTICIPATION OF PHIL NICHOLSON IN CASSINI TWT ACTIVITIES","3425","Center Astrophysics-Planetary Science","JET PROPULSION LABORATORY","1803","2010","2017","1449778","CONTRACT","535","NATL AERONAUTICS & SPACE ADM","JPL","","","Center Astrophysics-Planetary Science","ASAP"
null,"68879-28167","68879","MASTER AGREEMENT, OSP","OSP","","MASTER AGREEMENT","","PI","Office of Sponsored Programs","3445","28167","68879","A001","AMGEN MASTER FUNDING AGREEMENT","3445","Office of Sponsored Programs","AMGEN INC","764","2013","2018","0","CONTRACT","","","AMGEN","","","Office of Sponsored Programs","ASAP"
null,"66496-2496","66496","SENGERS, PHOEBE","PHOEBE","","SENGERS","PJS54","PI","Computer Science","2366","2496","66496","A001","HCC: SMALL: VALUES, PROGRESS AND IT: USING HISTORY TO ASSESS AND INSPIRE TECHNOLOGY","3622","IS Faculty Activities","DIRECTORATE FOR COMPUTER & INFORMATION SCIENCE & ENGINEERING NSF","5167","2012","2016","497401","GRANT","","","NSF","NSF CISE","","Information Science","ASAP"
null,"79518-2994","79518","STACEY, GORDON J","GORDON","J","STACEY","GJS12","PI","Center Astrophysics-Planetary Science","3425","2994","79518","A001","FIFI-LS IMAGING OF [O III] LINE EMISSION IN THE NUCLEUS AND SPIRAL ARM OF M83: TRACING THE STELLAR RADIATION FIELDS","3425","Center Astrophysics-Planetary Science","UNIVERSITIES SPACE RESEARCH ASSOC","3034","2015","2017","53000","GRANT","2094","AMES RESEARCH CENTER, NASA","USRA","","","Center Astrophysics-Planetary Science","ASAP"
http://scholars.cornell.edu/individual/zz284,Electrical and Computer Engineering,http://scholars.cornell.edu/individual/org49841,"76526-35949","76526","ZHANG, ZHIRU","ZHIRU","","ZHANG","ZZ284","PI","Electrical & Computer Engineering","2370","35949","76526","A001","SCALE-OUT DESIGN AUTOMATION FOR HIGHLY PRODUCTIVE HARDWARE SPECIALIZATION","2370","Electrical & Computer Engineering","US DEPT OF INTERIOR","484","2015","2018","854542","GRANT","1271","DEFENSE ADVANCED RESEARCH PROJECT AGENCY DOD","US INTERIOR","","","Electrical & Computer Engineering","ASAP"
null,"73981-3434","73981","WEIGLE, TIMOTHY H.","TIMOTHY","H.","WEIGLE","THW4","KP","CALS IPM Uncategorized","01L4","3434","73981","A001","AN INTEGRATED PEST MANAGEMENT PROGRAM FOR NEW YORK STATE, 2014 - 2017","01L4","CALS IPM Uncategorized","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","19473","2014","2017","855000","GRANT","","","USDA","USDA-NIFA","","CALS Integrated Pest Management","ASAP"
null,"75236-1506","75236","DANFORTH, BRYAN N","BRYAN","N","DANFORTH","BND1","PI","CALS ENT-IT Uncategorized","01E2","1506","75236","A001","NORTHEAST POLLINATOR PARTNERSHIP: DEVELOPING COST-EFFECTIVE POLLINATOR MANAGEMENT FOR NEW YORK APPLE GROWERS","01E2","CALS ENT-IT Uncategorized","NEW YORK FARM VIABILITY INSTITUTE","12954","2015","2017","100000","CONTRACT","","","NY FARM VIABILITY INST","","","CALS Entomology","ASAP"
null,"76605-3190","76605","CHERNEY, JEROME H","JEROME","H","CHERNEY","JHC5","CO","CALS CSS Uncategorized","01B6","3190","76605","A001","MANAGEMENT TOOLS TO IMPROVE FORAGE QUALITY AND PERSISTENCE OF ALFALFA","01D5","CALS AS Uncategorized","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","19473","2015","2017","203213","GRANT","","","USDA","USDA-NIFA","","CALS Animal Science","ASAP"
http://scholars.cornell.edu/individual/jtb47,Biomedical Engineering,http://scholars.cornell.edu/individual/org68763,"59995-14988","59995","BUTCHER, JONATHAN T","JONATHAN","T","BUTCHER","JTB47","PI","Biomedical Engineering","2388","14988","59995","A001","CAREER: ENGINEERING FUNCTIONAL TISSUE ASSEMBLY AND REMODELING THROUGH DEVELOPMENTAL BIOLOGY","2388","Biomedical Engineering","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF","5166","2010","2016","443000","GRANT","","","NSF","NSF BIO","","Biomedical Engineering","ASAP"
null,"71599-3772","71599","HEDGE, ALAN","ALAN","","HEDGE","AH29","CO","Design and Environmental Analysis","0327","3772","71599","A001","3C DESIGN TOOLS FOR DESIGNING AND ENSURING CONNECTED, COLLABORATIVE AND CREATIVE WORKPLACES","0327","Design and Environmental Analysis","AMERICAN SOC INTERIOR DESIGN FDN","817","2014","2016","55480","GRANT","","","ASID FDN","","","Design and Environmental Analysis","ASAP"
null,"60923-4034","60923","ABRUNA, HECTOR D","HECTOR","D","ABRUNA","HDA1","PI","Chemistry and Chemical Biology","2158","4034","60923","A001","CORNELL ENERGY FRONTIER RESEARCH CENTER - NYSTAR","3428","Energy Materials Center at Cornell","NYS SCIENCE, TECHNOLOGY AND ACADEMIC RESEARCH","3868","2009","2017","1385222","CONTRACT","","","NYS","NYSTAR","","Energy Materials Center at Cornell","ASAP"
null,"72554-2068","72554","BROWN, WARREN A","WARREN","A","BROWN","WAB4","CO","Cornell Inst for Social & Econ Research","3303","2068","72554","A001","DATA CUSTODIAL ACTIVITIES FOR SCIENTIFIC USE FILES","3303","Cornell Inst for Social & Econ Research","INSTITUTE FOR EMPLOYMENT RESEARCH (IAB)","39521","2014","2015","165149","CONTRACT","","","INSTITUTE FOR EMPLOYMENT RESEA","","","Cornell Inst for Social & Econ Research","AMAF"
null,"71940-25728","71940","OXFORD, EVA M.","EVA","M.","OXFORD","EMO59","FE","Clinical Sciences","0422","25728","71940","A001","IDENTIFICATION OF GENETIC MUTATIONS ASSOCIATED WITH THE DEVELOPMENT OF DEGENERATIVE MITRAL VALVE DISEASE IN THE SMALL BREED DOG","0427","Faculty Managed","AMERICAN COLLEGE OF VETERINARY INTERNAL MEDICINE FOUNDATION","24176","2014","2016","8500","GRANT","","","ACVIM","ACVIM FDN","","Clinical Sciences","ASAP"
http://scholars.cornell.edu/individual/mjp31,Chemical and Biomolecular Engineering,http://scholars.cornell.edu/individual/org80541,"72633-38309","72633","PASZEK, MATTHEW J","MATTHEW","J","PASZEK","MJP31","KP","Chemical & Biomolecular Engineering","2360","38309","72633","A001","MRI: ACQUISITION OF A CRYOGENIC, ABERRATION-CORRECTED SCANNING TRANSMISSION ELECTRON MICROSCOPE FOR ADVANCED MATERIALS RESEARCH AND EDUCATION","2371","Applied & Engineering Physics","NATL SCIENCE FOUNDATION","2244","2014","2016","2698364","GRANT","","","NSF","","","Applied & Engineering Physics","ASAP"
http://scholars.cornell.edu/individual/dah5,Electrical and Computer Engineering,http://scholars.cornell.edu/individual/org49841,"66231-3810","66231","HAMMER, DAVID A","DAVID","A","HAMMER","DAH5","CO","Electrical & Computer Engineering","2370","3810","66231","A001","THE DYNAMICS OF HIGH ENERGY DENSITY PLASMAS IN RADIAL FOIL CONFIGURATIONS.","2390","Lab of Plasma Studies","CHICAGO OPERATIONS OFFICE DOE","1289","2012","2016","675000","GRANT","","","DOE","DOE CHICAGO","","Lab of Plasma Studies","ASAP"
null,"76383-2102","76383","POWERS, JANE","JANE","","POWERS","JLP5","PI","Bronfenbrenner Ctr forTranslational Rsch","0323","2102","76383","A001","SUBCONTRACT- OAH TIER 1 B (REPLICATION TPP PROGRAMS TO SCALE IN OSWEGO COUNTY)","0323","Bronfenbrenner Ctr forTranslational Rsch","OSWEGO COUNTY","559","2015","2020","163154","GRANT","1225","OFFICE OF THE SECRETARY, DHHS","OSWEGO CNTY","","","Bronfenbrenner Ctr forTranslational Rsch","ASAP"
null,"61089-3675","61089","POWER, ALISON G","ALISON","G","POWER","AGP4","PI","Science and Technology Studies","2189","3675","61089","A001","COLLABORATIVE RESEARCH: THE COMMUNITY ECOLOGY OF VIRAL PATHOGENS - CAUSES AND CONSEQUENCES OF CONFECTION IN HOSTS AND VECTORS","2161","Ecology and Evolutionary Biology","NATL SCIENCE FOUNDATION","2244","2010","2016","541971","GRANT","","","NSF","","","Ecology and Evolutionary Biology","AMRO"
null,"72009-33710","72009","COMBS, DAVID B","DAVID","B","COMBS","DBC10","KP","CALS Entomology - Geneva","0621","33710","72009","A001","FACILITATING PROSPERITY IN NY BREWING INDUSTRY THROUGH RESEARCH & EXTENSION ON PRODUCTION OF MALTING BARLEY & HOPS","06B6","CALS Geneva AES Sponsored Awards","NYS DEPT OF AG & MARKETS","2301","2014","2016","200000","CONTRACT","","","NYS","AGMRKT","","CALS Geneva AES Finance & Operating","ASAP"
null,"69308-12247","69308","FARINA, CYNTHIA RUTH","CYNTHIA","RUTH","FARINA","CRF7","CO","Law School Research","2518","12247","69308","A001","HCC: LARGE: SOCIAL-COMPUTATIONAL SUPPORT OF CIVIC ENGAGEMENT IN PUBLIC POLICY MAKING","3612","CS Faculty Activities","DIRECTORATE FOR COMPUTER & INFORMATION SCIENCE & ENGINEERING NSF","5167","2013","2017","2263876","GRANT","","","NSF","NSF CISE","","Computer Science","APA"
http://scholars.cornell.edu/individual/dm24,Applied and Engineering Physics,http://scholars.cornell.edu/individual/org93835,"76170-5784","76170","MULLER, DAVID A","DAVID","A","MULLER","DM24","PI","Applied & Engineering Physics","2371","5784","76170","A001","ACADEMIC PARTNERSHIP COLLABORATIVE AGREEMENT","2371","Applied & Engineering Physics","GENERAL MOTORS","1526","2015","2020","0","CONTRACT","","","GM","","","Applied & Engineering Physics","ASAP"
null,"68664-19927","68664","TAISEY, ALLISON ANNE","ALLISON","ANNE","TAISEY","AAT25","KP","CALS CCE NE IPM","0114","19927","68664","A001","PROMOTING IPM IN AFFORDABLE HOUSING","0114","CALS CCE NE IPM","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","19473","2012","2016","1136366","GRANT","1624","US DEPT OF HOUSING & URBAN DEV","USDA","USDA-NIFA","","CALS Cornell Cooperative Extension","ASAP"
http://scholars.cornell.edu/individual/mp336,Mechanical and Aerospace Engineering,http://scholars.cornell.edu/individual/org66771,"76830-9024","76830","PECK, MASON","MASON","","PECK","MP336","PI","Mechanical & Aerospace Engineering","2355","9024","76830","A001","CLOSE PROXIMITY ROBOTIC MANEUVERING THROUGH FLUX PINNING MANIPULATION","2355","Mechanical & Aerospace Engineering","NATL AERONAUTICS & SPACE ADM","535","2015","2019","74000","GRANT","","","NASA","","","Mechanical & Aerospace Engineering","APA"
